ID,site_number,site_ab,invaded_status,sterile_status,location,replicate,iteration,#_cotyledon,leaf_length,week0,week1,week2,week3,week4,week5,growth,above1,above2,above,below1,below2,below,biomass,status
186,17,A,invaded,live,CNSC,4,1,2,0.19,0.655,0.95,1.32,1.905,2.03,2.32,1.665,0.1334,0.1328,0.1331,0.0038,0.004,0.0039,0.137,alive
187,16,A,invaded,live,airport,4,1,2,0.34,0.555,0.75,2.08,2.97,4.72,7.565,7.01,0.0425,0.0421,0.0423,0.02,0.0215,0.02075,0.06305,alive
188,10,A,invaded,live,airport,4,1,2,0.245,0.505,1.235,3.03,4.54,6.21,7.785,7.28,0.0487,0.0495,0.0491,0.0161,0.0148,0.01545,0.06455,alive
189,13,A,invaded,live,airport,4,1,2,0.27,0.695,0.955,dead,replanted,,,-0.695,,,,,,,NA,dead
190,9,B,uninvaded,live,airport,4,1,0,,0.625,0.85,1.025,dead,,,-0.625,,,,,,,NA,dead
191,15,B,uninvaded,live,Churchill,4,1,0,,0.55,1.2,1.485,1.925,2.525,3.012,2.462,0.0018,0.0013,0.00155,0.0023,0.0037,0.003,0.00455,alive
192,7,B,uninvaded,sterile,Churchill,4,1,0,,0.605,1.055,1.62,2.04,2.42,2.67,2.065,0.0009,0.0012,0.00105,0.0056,0.0057,0.00565,0.0067,alive
193,14,B,uninvaded,sterile,Churchill,4,1,2,0.245,0.605,0.865,1.985,2.775,4.46,6.505,5.9,0.0396,0.0394,0.0395,0.0148,0.0157,0.01525,0.05475,alive
194,14,B,uninvaded,live,Churchill,4,1,2,0.395,1.065,2.73,3.98,5.66,8.99,12.425,11.36,0.1251,0.1252,0.12515,0.0335,0.0344,0.03395,0.1591,alive
195,18,A,invaded,sterile,CNSC,4,1,2,0.34,0.495,0.935,2.46,4.695,6.975,9.68,9.185,0.0727,0.0729,0.0728,0.0322,0.0319,0.03205,0.10485,alive
196,9,A,invaded,sterile,airport,4,1,2,0.18,0.565,0.94,1.22,2.07,2.79,5.275,4.71,0.0167,0.0169,0.0168,0.0055,0.006,0.00575,0.02255,alive
197,17,B,uninvaded,live,CNSC,4,1,2,0.44,1.225,2.8,4.895,7.225,10.905,15.02,13.795,0.0893,0.0891,0.0892,0.0226,0.0236,0.0231,0.1123,alive
198,6,B,uninvaded,sterile,Churchill,4,1,0,,0.565,0.735,1.1,1.52,,,-0.565,0.0002,0.0004,0.0003,0.0018,0.0017,0.00175,0.00205,dead
